school_district,d2010,d2011,d2012,d2013,d2014
Ansonia School District,0,1,0,0,0
Bristol School District,1,0,0,1,1
Brookfield Area School District,0,1,0,0,0
Cromwell School District,0,0,1,0,0
Danbury School District,0,0,0,0,1
Darien School District,0,0,0,0,1
East Windsor School District,0,1,0,0,0
Farmington School District,0,0,0,0,1
Greenwich School District,1,0,0,1,0
Guilford School District,0,0,1,0,0
Lebanon School District,0,0,0,0,1
Madison School District,0,0,0,1,0
Manchester School District,0,1,0,0,0
Meriden School District,0,0,0,1,0
Montville School District,0,1,1,1,0
Naugatuck School District,0,0,0,0,1
New Haven School District,1,0,2,1,1
North Stonington School District,0,0,1,0,1
Norwich School District,0,0,0,1,0
Plainville School District,0,1,0,0,0
Regional School District 06,0,1,0,0,0
Regional School District 07,0,0,0,0,1
Regional School District 15,0,0,0,0,1
Ridgefield School District,0,1,0,0,0
Stamford School District,0,1,1,2,0
Torrington School District,0,0,0,0,1
Waterbury School District,0,0,1,0,1
West Haven School District,2,0,2,0,0
Westport School District,0,0,1,0,0
