"","male.white.0.9","female.white.0.9","male.all.0.9","female.all.0.9","male.white.10.14","female.white.10.14","male.all.10.14","female.all.10.14","male.white.15.19","female.white.15.19","male.all.15.19","female.all.15.19","male.white.20.24","female.white.20.24","male.all.20.24","female.all.20.24","male.white.25.34","female.white.25.34","male.all.25.34","female.all.25.34","male.white.35.44","female.white.35.44","male.all.35.44","female.all.35.44","male.white.45.54","female.white.45.54","male.all.45.54","female.all.45.54","male.white.55.64","female.white.55.64","male.all.55.64","female.all.55.64","male.white.65.74","female.white.65.74","male.all.65.74","female.all.65.74","male.white.75.","female.white.75.","male.all.75.","female.all.75."
"6001",1021,1010,1172.16,1105.48,639,771,719.28,905.35,576,534,692.64,590.86,247,182,301.92,219.19,559,579,621.6,619.45,925,1029,1003.44,1200.78,1533,1807,1687.2,1944.12,1192,1179,1296.48,1277.02,676,801,692.64,838.64,685,773,683.76,819.58
"6002",109,193,832.5,628.32,139,119,582.75,617.1,160,69,601.25,493.68,323,263,804.75,729.3,222,333,915.75,1122,244,339,1082.25,1110.78,521,657,1304.25,2064.48,645,732,1211.75,1716.66,542,609,1054.5,1279.08,625,1027,851,1481.04
"6010",3107,2679,3848.13,3519.978,1379,1358,1746.459,1667.358,1314,1337,1539.252,1605.604,1516,1375,1924.065,1605.604,3523,3312,4321.746,3859.625,3909,3801,4469.751,4384.534,4407,4673,4736.16,4909.443,3413,3424,3670.524,3643.486,1727,2304,1805.661,2377.529,1495,3311,1568.853,3396.47
"6013",739,498,772.768,497.34,390,344,391.096,368.4,263,326,263.872,336.165,148,130,146.072,128.94,230,305,268.584,308.535,750,818,777.48,819.69,898,844,904.704,847.32,622,768,687.952,773.64,333,341,339.264,349.98,161,180,160.208,179.595
"6016",328,289,471.73,367.416,136,324,152.36,367.416,107,86,158.22,139.482,149,176,149.43,176.904,359,287,392.62,404.838,445,368,527.4,408.24,558,630,556.7,700.812,288,392,304.72,408.24,134,209,146.5,227.934,68,199,67.39,197.316
"6018",77,165,86.13,174.51,70,70,70.47,70.635,57,68,57.42,67.865,82,67,82.215,66.48,178,81,185.31,90.025,169,184,169.65,184.205,189,143,189.225,144.04,125,171,165.735,184.205,105,144,104.4,144.04,196,259,195.75,258.995
"6019",345,687,353.475,750.168,395,474,395.892,483.804,257,388,273.354,396.828,266,208,282.78,206.568,301,364,315.771,364.212,702,716,725.802,739.296,934,968,937.887,978.48,716,693,721.089,717.552,392,307,391.179,304.416,323,486,325.197,494.676
"6021",16,18,16.055,17.952,13,4,13.013,4.048,3,14,3.042,14.08,8,10,7.943,10.032,29,22,29.068,22,11,11,10.985,11.088,42,42,42.081,42.064,15,35,15.041,35.024,21,11,20.956,10.912,11,9,11.154,8.976
"6022",0,0,0,0,0,0,0,0,0,6,0,6,7,0,7.004,0,8,8,7.99,34.98,0,0,0,0,0,0,0,0,0,9,0,9,19,10,19.006,10.02,0,0,0,0
"6023",50,74,55.929,74.221,20,0,34.209,0,33,0,33.123,0,34,42,34.209,41.951,100,32,99.912,39.185,33,64,34.209,64.079,40,75,39.639,88.051,88,37,100.455,53.015,87,53,87.423,53.015,25,48,24.978,47.483
"6024",0,30,0,30.02,19,22,19.023,22.12,8,18,7.833,18.17,17,14,17.158,13.825,0,24,0,24.095,19,62,18.65,62.015,160,71,187.992,70.705,55,16,55.204,16.195,39,94,39.165,94.01,28,44,27.975,44.24
"6026",358,223,443.526,276.08,116,135,135.097,145.18,109,81,152.94,111.86,30,25,66.274,42.84,197,276,224.312,309.4,376,308,423.134,357,334,387,395.095,421.26,406,200,407.84,299.88,131,261,137.646,266.56,156,148,168.234,147.56
"6027",106,76,119.132,82.878,35,63,34.684,66.157,41,27,57.304,29.807,46,19,49.764,18.902,67,41,67.106,45.801,92,79,91.988,82.151,118,156,118.378,156.305,124,142,127.426,144.673,56,37,61.074,37.077,28,63,27.898,63.249
"6029",1159,772,1205.435,868.857,550,510,559.944,507.474,518,513,528.836,515.163,268,522,272.195,522.852,781,863,839.916,922.68,1191,1273,1213.212,1299.441,1288,1178,1306.536,1237.929,957,976,972.125,999.57,426,366,435.512,399.828,447,383,451.066,422.895
"6031",72,61,76.998,64.7,32,31,31.926,31.056,15,23,20.032,23.292,47,12,46.95,14.234,68,70,67.608,70.523,71,92,71.364,95.756,102,148,102.038,147.516,103,130,115.81,132.635,72,32,71.99,36.879,21,30,21.284,29.762
"6032",878,684,1051.611,974.034,538,263,625.752,468.639,594,349,634.443,404.316,446,453,547.533,523.773,639,796,773.499,992.412,918,1039,1147.212,1341.594,1071,1245,1225.431,1332.405,1219,1309,1268.886,1323.216,791,862,808.263,891.333,592,912,599.679,946.467
"6033",1455,1257,1684.332,1785.597,976,722,1256.346,826.392,978,878,1118.286,1077.261,429,312,566.046,516.495,841,954,1090.674,1151.046,1712,1678,1974.258,2125.008,2068,2227,2402.244,2641.503,1696,1998,1877.616,2228.307,1023,1158,1021.644,1180.56,727,1196,773.136,1254.345
"6035",527,325,572.686,322.432,262,231,262.145,249.152,241,113,258.112,113.584,155,64,165.353,69.616,516,296,536.389,307.776,348,530,367.003,553.264,761,667,798.534,696.16,628,563,629.148,597.232,198,329,197.617,340.752,252,408,254.079,406.704
"6037",897,868,1030.302,988.176,566,396,733.278,561.904,404,417,464.1,523.152,484,451,501.228,465.024,773,770,816.816,910.672,1275,985,1420.146,1152.872,1377,1748,1503.684,1772.904,1409,1493,1485.12,1491.952,612,792,640.458,823.48,669,999,686.868,997.864
"6039",83,99,94.068,150.414,0,188,9.648,207.548,62,65,62.712,81.62,37,6,46.632,5.83,37,110,44.22,109.604,76,35,77.184,48.972,53,186,84.42,216.876,127,64,127.032,64.13,126,173,126.228,180.73,101,91,131.856,99.11
"6040",1069,1243,1993.433,2456.622,667,518,1005.537,989.982,1077,661,1517.126,953.316,835,706,1252.511,1209.978,1690,1791,2540.304,2823.282,1649,1514,2434.458,2181.627,2166,2211,2628.509,2969.946,2134,1922,2258.048,2144.961,1003,1188,1093.742,1338.309,835,1230,882.05,1301.643
"6042",731,783,1358.406,1290.822,373,242,495.926,317.044,299,414,506.707,520.858,614,574,700.765,781.287,1520,1512,2425.725,2411.799,1085,1032,1574.026,1370.083,1274,1060,1455.435,1324.791,945,1378,1045.757,1619.189,596,810,636.079,883.194,555,744,582.174,803.933
"6043",203,237,211.344,247.4,150,158,158.508,173.18,220,188,218.892,192.972,129,46,183.668,61.85,150,139,173.604,148.44,252,237,261.664,244.926,507,486,518.296,522.014,410,477,410.108,514.592,251,197,251.6,197.92,127,168,128.316,170.706
"6051",905,1042,2650.102,2689.176,536,341,1150.319,960.42,508,476,844.538,1040.455,477,565,990.148,1248.546,1522,1503,2752.029,2929.281,951,952,1645.393,2000.875,1202,1205,1703.637,1856.812,1115,1009,1558.027,1456.637,487,632,742.611,880.385,465,840,509.635,960.42
"6052",270,198,414,353.307,68,157,226.8,215.233,249,172,396,255.843,232,182,334.8,207.111,346,365,403.2,483.259,272,384,432,649.76,351,580,536.4,682.248,364,461,381.6,515.747,232,192,313.2,243.66,163,450,162,462.954
"6053",1144,897,1968.912,1973.826,538,373,797.328,949.671,923,1275,1431.936,1824.858,1430,1521,2001.456,1936.584,1707,1568,2717.424,2551.077,1160,1432,1692.288,2085.552,1727,1745,2245.536,2346.246,1338,1610,1692.288,2085.552,620,1109,732.24,1284.849,931,1523,976.32,1601.406
"6057",386,254,411.48,281.65,245,212,257.175,255.45,209,220,209.169,219.425,146,107,147.447,108.075,255,218,253.746,229.25,515,475,534.924,487.975,524,548,558.927,563.3,574,681,572.643,681.2,334,230,332.613,229.25,144,215,144.018,212.875
"6058",47,81,52.2,84.558,25,21,29.725,39.792,55,42,55.1,42.279,24,78,23.925,77.926,52,63,52.2,63.833,76,75,82.65,83.729,143,125,142.825,131.811,117,104,134.125,107.77,106,115,105.85,115.231,46,81,45.675,81.242
"6060",126,12,152.994,49.802,101,209,100.81,208.63,101,41,100.81,40.38,0,110,0,110.372,10,36,9.488,34.996,128,204,128.088,215.36,275,328,364.102,343.23,151,259,151.808,258.432,114,53,113.856,53.84,63,28,62.858,28.266
"6061",0,0,0,0,0,0,0,0,18,21,18.054,21.012,0,22,0,22.032,0,0,0,0,51,0,50.976,0,31,32,31.034,39.984,18,19,18.054,19.074,0,0,0,0,0,0,0,0
"6062",942,838,1043.375,928.521,444,443,509.167,468.95,489,669,500.82,684.667,424,333,475.779,337.644,1011,1019,1135.192,1162.996,884,1117,993.293,1256.786,1196,1536,1293.785,1622.567,1114,1085,1126.845,1162.996,612,802,634.372,825.352,623,907,626.025,937.9
"6063",219,173,218.82,173.554,54,66,54.705,66.502,91,165,90.654,165.444,80,18,100.032,17.842,116,134,117.225,141.114,136,204,135.981,215.726,331,351,331.356,366.572,255,299,254.769,298.448,179,151,179.745,152.468,81,27,81.276,25.952
"6065",90,93,97.034,92.901,24,39,23.9,39.201,5,33,4.78,32.757,17,39,17.208,39.201,8,7,8.126,10.74,117,102,116.632,102.03,90,87,89.864,86.994,72,46,76.002,46.182,13,44,12.906,43.497,31,43,31.07,42.96
