school_district,male_householder_rate,household_size,pop_under18_rate,pop_white_rate,poverty_rate_grade9_12,enrollment_grade9_12,avg_CAPT,graduation_rate,median_income,dropout_rate,serious_incidence_prop,incidence_rate,freelunch_rate,attendance_rate,grant,serious_incidence_rate
Ansonia School District,0.52685422,2.5,0.23681052,0.803527631,0.158730159,1323,228.9210099,0.902491577,56541,0.0245,0.018683862,0.134038801,0.576951858,0.940333333,0,0.017690341
Avon School District,0.600697293,2.57,0.268469284,0.88641249,0.088729017,1251,284.7149305,0.993919622,105116,0.0025,0.009103891,0.017136737,0.042286463,0.964666667,0,0.008654825
Berlin School District,0.590950556,2.62,0.227604512,0.929049053,0.094435076,1186,266.9209519,0.940516105,86211,0.0155,0.02384696,0.112368973,0.073633203,0.962666667,0,0.02322495
Bethel School District,0.630085334,2.68,0.236055939,0.899711596,0.064176245,1044,271.1065593,0.997160918,83483,0.002,0.022074405,0.088827408,0.127582017,0.956333333,1,0.020405942
Bloomfield School District,0.518381638,2.29,0.170797679,0.3560539,0.145251397,1074,222.9342204,0.916213507,68372,0.0295,0.050883935,0.113348706,0.459149834,0.956,0,0.048834464
Bolton School District,0.594719472,2.497577558,0.215352221,0.960088055,0.053571429,672,277.4248309,0.982713963,87594.41625,0.0015,0.014639859,0.021569393,0.086643438,0.9605,0,0.014356815
Branford School District,0.555246423,2.3,0.186209832,0.913740512,0.037982973,1527,264.4529396,0.952356762,70640,0.005,0.020536038,0.057515393,0.184836909,0.952333333,0,0.020110662
Bridgeport School District,0.427200295,2.66,0.260366401,0.493014252,0.268300548,9303,206.1766778,0.70551096,41047,0.0905,0.112019126,0.254554066,0.984089325,0.92,1,0.104505667
Bristol School District,0.534481671,2.39,0.214798399,0.869166143,0.129474012,3213,255.5558505,0.951819518,58537,0.0165,0.023547528,0.082805633,0.383274993,0.946333333,0,0.022508517
Brookfield Area School District,0.579227224,2.729683327,0.256729851,0.924988264,0.029574417,4159,274.8052343,0.977337499,96584.52492,0.009833333,0.019833285,0.082156806,0.08971299,0.95125,1,0.018987649
Canton School District,0.507097232,2.49,0.244395736,0.967320913,0.025073746,678,286.3368127,0.973128038,87643,0.0075,0.009244043,0.017358258,0.047285795,0.952,0,0.008966823
Cheshire School District,0.602351314,2.82,0.251482027,0.850083953,0.008891523,1687,277.2878111,0.972447129,107936,0.0035,0.020193538,0.047424824,0.054685372,0.959,0,0.017304595
Clinton School District,0.604950495,2.45,0.221237609,0.940147191,0.024637681,690,262.0473714,0.952928931,74174,0.024,0.015554868,0.065779291,0.126609092,0.952,0,0.015094623
Colchester School District,0.558017109,2.7,0.283677204,0.948324815,0.035995501,889,261.9659587,0.968786396,92431,0.006,0.023837745,0.077373897,0.1028245,0.958333333,0,0.022840558
Coventry School District,0.599728261,2.59,0.238870002,0.948680589,0.089855072,690,256.0929639,0.966673563,86244,0.0055,0.050996678,0.176744186,0.150053022,0.957,0,0.049700502
