"","school_district","E952010","E952011","E952012","E952013","E952014","EXTRA2010","EXTRA2011","EXTRA2012","EXTRA2013","EXTRA2014","UNDET2010","UNDET2011","UNDET2012","UNDET2013","UNDET2014","VCODE2010","VCODE2011","VCODE2012","VCODE2013","VCODE2014","ALL2010","ALL2011","ALL2012","ALL2013","ALL2014","DRUG2010","DRUG2011","DRUG2012","DRUG2013","DRUG2014","pop_sch_15_19","pop_sch_all","long","lat"
"1","Ansonia School District",1,0,1,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,1,0,0,0,0,1289.31,19187.216,-73.07446,41.34269
"2","Avon School District",0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1283.5,18391.59,-72.86431,41.789698
"3","Berlin School District",2,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,1,1,0,1,0,0,0,1020.375,19975.086,-72.743755,41.615898
"4","Bethel School District",1,0,1,1,2,1,0,1,0,2,0,1,0,0,0,0,0,1,0,0,1,1,1,1,2,0,1,0,0,2,1221.685,18663.863,-73.40105,41.379978
"5","Bloomfield School District",1,1,2,5,1,1,1,1,3,1,0,0,0,0,0,0,0,0,1,0,1,1,2,5,1,1,0,0,0,1,1094.93,20483.19,-72.72642,41.832798
"6","Bolton School District",2,3,0,1,3,3,1,0,1,2,0,0,0,0,0,2,1,0,1,0,4,3,0,2,3,3,1,0,0,0,723.808,10454,-72.36509,41.737021
"7","Branford School District",2,1,3,6,7,2,1,1,6,7,0,0,0,0,1,2,0,0,4,5,2,1,3,8,10,0,1,0,1,0,1379.004,27952,-72.80542,41.277763
"8","Bridgeport School District",8,13,7,14,13,7,12,5,9,13,4,1,2,2,2,0,0,2,0,5,13,15,9,16,18,6,8,2,3,4,11117.887,144495.436,-73.190445,41.1867118333333
"9","Bristol School District",4,11,8,7,7,3,9,7,5,3,0,0,0,0,0,0,1,1,0,1,4,13,9,8,7,3,5,3,3,0,3144.856,60600.232,-72.826241,41.7370125
"10","Brookfield Area School District",5,9,3,1,5,6,8,5,4,4,0,1,1,0,0,0,2,1,0,0,6,11,6,4,5,4,6,0,1,1,4365.433,60985.072,-73.450295,41.5215165
"11","Canton School District",0,1,3,0,1,0,1,2,0,2,0,0,0,0,0,0,0,2,0,1,0,1,3,0,2,0,1,0,0,0,676.182,10252.426,-72.9085,41.8335445
"12","Cheshire School District",0,2,2,0,2,0,3,3,0,3,0,0,1,0,1,0,0,0,0,1,0,3,4,0,3,0,2,1,0,1,2359.598,29132,-72.90489,41.507049
"13","Clinton School District",4,0,6,1,6,4,1,2,1,6,0,0,0,0,0,0,1,3,0,4,4,1,6,1,7,4,0,0,1,3,714.63,13200.578,-72.52728,41.288599
"14","Colchester School District",2,0,2,0,0,2,0,3,0,1,0,0,0,0,0,1,0,0,0,0,2,0,3,0,1,0,0,2,0,0,1181.603,16539.831,-72.33795,41.56033
"15","Coventry School District",3,1,0,0,1,4,3,0,0,1,0,0,0,0,0,1,1,0,0,0,4,3,0,0,1,2,1,0,0,1,957.511,12445.029,-72.33137,41.778651
"16","Cromwell School District",2,2,2,1,0,2,1,1,0,1,0,0,0,0,0,2,0,0,0,0,2,2,2,1,1,0,0,0,1,1,739.082,14059,-72.66998,41.612046
"17","Danbury School District",5,6,8,8,2,7,5,6,8,3,0,1,1,0,2,2,2,2,1,0,7,7,9,9,5,2,0,3,5,2,5436.651,81008.516,-73.462235,41.407894
"18","Darien School District",1,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,2,1,0,0,1,0,1,1758.99,20736.922,-73.48294,41.075663
"19","Derby School District",0,0,0,2,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,1,630.894,12832.622,-73.08433,41.323005
"20","East Granby School District",0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0,1,0,1,0,264.8,4931.718,-72.72718,41.935501
