protein,strain_1,strain_2,strain_3,strain_4,overall_mean,posterior_max
Prot55,-4.159184347543862,-3.281133303945211,-6.341529205054163,-7.17851742184,-5.240091069595809,0.9999986386170926
Prot279,-4.017561384447344,-1.7617033678612675,-6.593439812441071,-7.846202780936439,-5.05472683642153,0.999946996898703
Prot375,-4.065320802494595,-2.8358471514513752,-5.763759662753415,-5.781305322659049,-4.611558234839609,0.9999857262541475
Prot2281,-4.034535738155689,-2.5315069134883,-5.216161325363062,-5.021779230247857,-4.200995801813727,0.9999363512314442
Prot229,-4.138364339459528,-2.804713711825059,-3.9952634958188544,-5.85601583653386,-4.198589345909325,0.9998904794085123
Prot1589,-3.526248574904935,-2.0813600495189912,-4.734060155538036,-6.382718781125418,-4.181096890271846,0.999566883372482
Prot2471,-3.777872792808879,-2.6204200041178356,-5.482620885047304,-4.825841348658233,-4.176688757658063,0.9999422853745106
Prot152,-3.5360903611578935,-2.2974319988440675,-5.327849830385948,-5.453012973339955,-4.153596290931966,0.9999048790307188
Prot733,-4.302374101882291,-3.070910230347679,-1.6695668536491488,-5.4646561017387025,-3.6268768219044554,0.9998526641645256
Prot1996,-3.103986768159124,-2.2256208766433985,-4.016707346253376,-4.69649429641593,-3.5107023218679574,0.9992043117619986
Prot1860,-3.565899666796549,-2.6281539999211345,-4.156098878104052,-3.6540069343068162,-3.501039869782138,0.9995014410031137
Prot76,-3.6293096716273965,-1.7436183825651375,-4.774441975930398,-3.652299189852095,-3.4499173049937566,0.9992915028730323
Prot1343,-2.8393566239637273,-2.6480751208179365,-3.6817502988016706,-4.27134297862814,-3.3601312555528686,0.9990190599594726
Prot590,-3.29491390082009,-2.6344532492257584,-3.5510970703790825,-3.6923845614617092,-3.29321219547166,0.9991571677736826
Prot18,-2.647082638178514,-2.489800949077853,-4.134053452599902,-3.7640733802187696,-3.25875260501876,0.9987744318186014
Prot337,-3.4820157520503643,-1.6814965344706716,-2.9852484317302994,-4.8840610747871045,-3.25820544825961,0.9951145181399124
Prot700,-2.9762381239622377,-2.2311912892584385,-3.747763550670809,-3.791719005794935,-3.186727992421605,0.99869051042139
Prot364,-1.524698825439795,-2.786029935056656,-1.438369763950043,-6.624961685395762,-3.093515052460564,0.9650119893411202
Prot1419,-2.585127857807306,-2.4850443992503233,-3.8105667220281196,-3.3323422596375267,-3.0532703096808187,0.9978792870492676
Prot148,-2.442128272750568,-2.5645201652260035,-3.141650177463898,-3.2876840823702462,-2.858995674452679,0.9966327003455864
Prot296,-2.221178232601593,-2.104378964855343,-4.0581942934177695,-2.9973223327325065,-2.845268455901803,0.996542449075603
Prot559,-3.3121468089306196,-2.654506316827584,-1.6440012956697416,-3.706051094637708,-2.8291763790164133,0.9991186465250652
Prot2372,-3.532673207350435,-3.354424975944116,-1.1504207116225176,-3.1772185198169316,-2.8036843536835,0.9994249961271001
Prot2022,-0.7033864620879291,-2.7966522785235775,-2.5998892236221187,-4.993773964615478,-2.773425482212276,0.9756950452241547
Prot4,-3.004161705552318,-2.086892873739878,-2.9760180076658007,-2.7152352776133877,-2.695576966142846,0.9973029223540774
Prot1505,-0.48275498235054426,-2.6129941283499094,-2.548952545718252,-4.983015541436774,-2.6569292994638696,0.963386423398785
Prot1790,-1.0573978781396933,-2.45101083115016,-3.401957080567282,-3.4698661861363838,-2.5950579939983798,0.9844495918270991
Prot2460,-2.4740956863694,-2.4658412177599733,-4.604174277268001,-0.6885303966870274,-2.5581603945211007,0.9525750585250761
Prot497,-0.19328238412682092,-3.084436308664348,-2.69315583554814,-4.256073732347348,-2.556737065171664,0.9335318755332084
Prot315,-3.222134409771818,-2.047054911498474,-3.1177102542081263,-1.6681301538594597,-2.5137574323344696,0.9961654932450561
Prot624,-2.4493965374461095,-1.819678631362927,-2.8236451752676643,-2.887643989800716,-2.4950910834693545,0.9938576726262356
Prot2210,-2.638765435449006,-2.9038872902605517,-0.8440234264867132,-3.3975806170394947,-2.4460641923089415,0.9981968128488476
Prot1199,-1.2313633268015378,-2.1258350112810533,-3.693013114425271,-2.678282309737863,-2.4321234405614316,0.9857898532832707
Prot2280,-2.013559345664551,-2.010061265349272,-2.9138970852376254,-2.7658842113523514,-2.4258504769009503,0.9915393691262392
Prot198,-2.8183826830898417,-2.8776775894030036,-0.5275268377928495,-3.4114878570828893,-2.408768741842146,0.998920872955537
Prot623,-1.8484475461536363,-1.9758606864658237,-2.681218012285098,-2.9995606150825886,-2.3762717149967867,0.9894275015996332
