protein,strain_1,strain_2,strain_3,strain_4,overall_mean,posterior_max
Prot1742,5.260141433604375,3.942770999850618,5.010008165950974,5.541859531422715,4.93869503270717,0.9773123349640443
Prot796,5.433310019706537,3.598923122527104,2.816042424806099,3.2840397023459813,3.7830788173464303,0.9999864588690162
Prot2168,3.5895401428008427,3.6380723101303847,3.227993675745273,3.334842568145144,3.447612174205411,0.999933519363923
Prot2090,3.953615643602596,2.790982388171732,4.791982350576045,2.04856257341644,3.396285738941703,0.9992055180724513
Prot1123,0.8940822128788836,4.140691373977635,4.697778096462655,3.8032082609820983,3.3839399860753177,0.999397827534939
Prot837,4.354591676010608,1.6849086238958282,1.4816655921771071,5.396232071107554,3.229349490797774,0.8265562607739138
Prot619,0.47386845469230154,5.045037204396792,1.1190434158146942,6.236635782533369,3.218646214359289,0.9999955114782944
Prot302,3.5760245176674914,3.432806360854554,1.3363301723505234,4.244514433730966,3.147418871150884,0.9994700333487213
Prot1724,4.682398246995852,3.2924656915206096,1.1753725817522702,3.4164696992573402,3.141676554881518,0.9999094486032742
Prot689,3.7745293138604805,2.008940623613616,2.1704556124482846,4.102372356840082,3.014074476690616,0.8610852240091694
Prot792,3.148276025927373,4.016511040256623,0.670118218533179,4.131201713464673,2.991526749545462,0.9999866632505726
Prot117,3.495990632487357,3.4302997504607124,0.6223463093108565,4.344694182289164,2.9733327186370224,0.9995393798042627
Prot648,3.4196103631582546,3.831973905625636,0.8939658709247077,3.4668145035107485,2.903091160804837,0.9999921565823747
Prot1462,4.053675859156662,2.202480532311384,5.171042907755037,0.15543021600464554,2.8956573788069324,0.9999500591036522
Prot1816,4.76493489268056,3.1620116612676528,0.9284194397605587,2.6763009028165596,2.8829167241313325,0.9999700078898842
Prot2492,3.301415989249918,3.641092213004978,0.7958881834039856,3.401858397587775,2.7850636958116644,0.9999784931944672
Prot795,3.821996198785899,2.962700827635088,1.3758610399817703,2.9681698640580123,2.7821819826151923,0.9997102655112724
Prot278,0.9558740807590252,3.905206125569286,0.8629316827580075,5.250023879769642,2.7435089422139898,0.9993823900890128
Prot1889,2.5453526342417905,2.944812515967206,2.734060230791514,2.5969356320586545,2.705290253264791,0.9991735656469464
Prot627,1.0995915540447707,4.067116519093917,0.5333720811953325,5.11182821033158,2.7029770911664,0.9998800188673004
Prot986,1.8922439107902713,2.8391797807541246,2.934932789774904,3.0863255767185063,2.6881705145094514,0.9846206862652841
Prot1514,2.808037089615766,1.9166427263856953,3.41415305412951,2.2317564093015587,2.5926473198581323,0.9108572704169108
Prot2261,3.8541751229483387,3.1339083539673243,1.0241153075057328,2.3230765970165734,2.583818845359492,0.9999769363334822
Prot2001,2.1785105756120315,3.3629619917609914,0.8973047864450816,3.8590398571402402,2.574454302739586,0.9995278357776901
Prot1876,3.7278408964995298,2.1952713521592386,2.2459373145168158,2.0960428367811215,2.5662730999891763,0.9975928886457963
Prot290,0.6544553995170235,3.822838031618962,0.636272078432335,5.1341093444611685,2.561918713507372,0.9993441297091679
Prot2218,1.3018092346405683,3.5137483719786253,0.37685915150446436,4.955175232926457,2.5368979977625292,0.9983490078549482
Prot807,3.209379273293381,1.997932618677506,1.5667978789662147,3.257766809643216,2.5079691451450796,0.9557572233245702
Prot2249,2.443691738679582,3.7452892298087077,0.4532655376719107,3.367956589281339,2.502550773860385,0.9999881051163029
