row.names	c1G	c1R	c2G	c2R	c3G	c3R	c4G	c4R	c5G	c5R	c6G	c6R	c7G	c7R	c8G	c8R	k1G	k1R	k2G	k2R	k3G	k3R	k4G	k4R	k5G	k5R	k6G	k6R	k7G	k7R	k8G	k8R
1	5592.58	2765.58	4749.89	1768.22	3709.31	1440.54	2666.13	763.06	3535.22	2027.94	2499.53	864.05	2445.94	958.68	1631.58	644.58	580.8	747.11	2318.73	1388.79	1441.88	1588.76	2055.08	1280.17	2437.16	1881.72	2269.43	1733.53	1670.33	1170.84	2882.78	1512.45
2	4746.38	2868.43	3088.12	2277.18	2259.42	1599.92	1518.12	1238.33	1647.3	1513.43	1658	1079.33	1386.56	1228.66	918.27	757.33	1179.1	1930.25	1704.4	2093	835.86	1369.81	979.33	1071.17	2028.75	3218.58	1294.91	2451.04	1137.45	1605	1652.5	1700.82
3	2108.48	1236.32	3669.53	1546.84	7774.4	2639.45	2514.81	999.48	2815	3689.67	3345.4	1505.2	1720.96	785.1	1387.41	994.86	734.24	753.52	2165.77	1300	2761.36	1301.61	3454.85	3292.26	2525.4	1149.23	2694.9	3424.3	2524.82	1901.06	2172.53	2200.82
4	548.46	383.62	708.16	532.5	462.67	323.55	680.06	585.14	210.58	250.74	633.78	566.58	548.89	409.18	425	417.79	582.64	829.82	334.9	402.84	639.4	513.91	493.01	459.69	536.83	391.09	552.51	601	540.6	438.03	538.8	507.25
5	856.48	377.36	715.64	525.44	347.27	280.67	721.93	553.43	297.49	190.8	417	461.89	333.5	225.63	478.59	465.65	511.31	634.8	307.33	390.93	425.76	355.76	362.12	318.87	380.99	325.59	422.22	323.65	298.2	343.06	874.53	602.28
6	629.39	402.09	552.49	493.09	357.78	244.72	676.59	492.04	327.15	281.58	378.19	459.54	301.94	191.7	376.46	404.24	333.59	354.64	307.96	344.28	352.1	295.9	375.86	293.25	417.54	376.22	359.76	283.4	432.42	422.1	807.97	500.49
7	18176.65	13782.69	10004.73	8562.25	12161.47	9058.48	9359.56	10540.07	12213.85	8338.5	13911.23	9785.69	10046.19	6347.67	12588.76	12471.82	13239.69	12151.79	9434.93	9816.67	11960.45	11479.28	13163.6	10696.6	11936.4	10709.8	8710.69	6516.37	17257.31	10894.52	11320	8814.14
8	9605.38	3561	11334.83	7097.08	8701.69	4946.31	8038.21	6735	6653	3538.83	10604.77	5025.69	5359.33	2216	7650.54	5278	3695.41	2894.65	6143.31	4014	8216.89	4503.83	5914	5138.75	9225	4506.36	3786	3103.31	7042.5	3313.75	6524.92	3492.23
9	10362.71	5838.29	9650.38	6115.41	11488.69	6350.13	7490.54	5507.88	12881.17	5791.83	11333.71	5173.32	11064.67	4487.11	11547.17	7065.56	4326.04	2695.17	7336.95	4704.32	12128.12	4929.76	7501.4	6039.53	9902.28	5330.21	3078.16	2313.05	8685.7	4169.95	10436.76	5033.69
10	3191.72	2014.22	3792.29	2596.83	3033	1885.21	3178.29	2454	2985.78	1573.05	4378.4	2060.4	2139.5	1552.75	2510.24	2081.67	1141.54	985.7	2092.58	1816.17	3107.33	1545.96	2161.59	2637	2565.09	2304.88	1359.68	1589.21	1658.3	919.62	2064.96	1340.21
11	9198.5	6047	10725.78	7742.78	8643.17	5470.83	6919.47	7263.84	7899.58	3712.83	10666.22	5366	5263.75	3076.17	6747.83	5213.33	2699.4	2190.53	7407.75	6249.08	3507.17	2904.25	4112.77	3638.32	5432.42	4077.08	2329.39	1833.96	6247.9	3220.3	5242.35	3090.55
12	17276.81	10437.09	11520.8	7259.32	12443.27	8042.81	8232.45	7604.39	12075.58	6462.38	10870.03	6134.38	10946.79	6633.5	11422.73	8226.77	8337.23	7396.4	5708.45	6333.29	11252.46	10150.65	8283.56	8037.5	10480.36	7865.89	1052.28	1066.63	13993.02	6830.39	10649.17	7035.79
13	9218.47	4293.16	10421.06	7580.94	9800.19	6685.22	8101.67	7925.78	13348.59	5173.12	10641	7502	9674.25	4856	11110.7	6158.3	3551.34	2028.52	6087.29	8168.21	6250.81	7069.85	7685.5	5250.43	8305.73	5652.68	3122.37	2485.58	10136.48	3464.57	9516.56	5102.94
14	1323.27	1022.09	1221.22	909.83	1423.21	961.64	1075.36	838.5	1583.13	897.31	1869.14	1133.64	1100.81	1512.81	1231.86	865.71	575.25	861.67	1110.35	1178.14	969.81	1037.12	1235.69	1091	953.69	925.15	705.5	728.27	709.09	748.44	1228.19	995.04
15	3745.27	2085.5	7608.05	6222.5	9029.9	6196.9	10790.13	4007.07	9983.11	4462.56	9000.7	6585	9279.08	3731.75	5461.23	3195.31	1846.83	2248.98	6962.06	5751.38	6359.32	3420.5	6494.5	4989.42	8886.36	3861.48	2889.1	2647.3	8594.82	4703.79	7007	4945.38
16	1286.5	832.95	1862.85	1550.45	1682.82	1161.41	1487.28	999.73	3287.38	1913.38	2825.77	1551.15	1420.55	1417.18	1207.75	1016.33	476.2	506.4	1266.72	1166.17	1332.16	951.4	1482.52	1412.24	1341.05	1420.41	1034.68	1259.95	1238.71	915.95	1314.6	1117.3
17	5368.2	2362.75	9535.31	5395.23	10242	3598.5	5887.4	3584.2	7132.91	3071.82	9203.18	4083.65	6253	3050.92	6551.33	3891.34	2227.65	1141.02	5342.56	3228	5835.39	2611.38	5807.4	4708	4548.37	2873.38	4048.77	2406.34	6872.62	2604.54	7899.68	4189.74
18	15583.28	9627.11	14376.61	8601.49	16339.4	10699.6	10970.34	8234.14	13271.62	6999.93	15727.97	9623.23	11649.88	7524	12858.1	9080.79	9690.69	8691.94	7170.52	7705.85	12390.81	9730.89	6678.32	5533.89	10687.17	7755.97	7562.28	5450.32	13860.39	6826.13	11225.56	6498.59
19	2660.97	1558.17	4720.33	3108.6	4356.64	2690.57	3180.05	1935.77	2803.94	1737.75	3971	2338.64	2754.53	2059.27	2599.82	2319.64	999.67	1057.96	2576.08	2214	3687.19	2207.58	2258.06	2066.94	2607.53	1501.44	2794.68	2994.77	2826.61	1428.74	3114.78	1877.61
20	5639.16	3112.5	7779.12	3858.67	8056.8	4419.7	5476.4	3220.4	8416.89	4158.78	11207	5161.6	6035.44	2355.56	5774.11	3757.22	1782.4	1356.74	4403.67	3242.07	5352.71	3316.93	3106.46	2433.46	2926.15	2202.53	1737	2229.32	5353.27	2725.47	8039.63	4094
21	3917.05	2268.85	5249	2642.5	5240.67	2651.13	3518.11	1819.47	6910.94	3493.35	7499.59	3122	3828.47	1693.13	4369.27	2569.73	1268.72	1004.45	3176.95	1975.42	5785.64	2146.59	2315.36	2371	3075.58	1261.92	1606.22	1596.35	4288.29	1938.35	4666.37	2332.16
22	18309.25	13303.29	17770.07	8108.82	15426.66	7666.86	14048.76	5765.42	11577.68	6341.68	15576.37	6535.26	11317.56	3951.72	10293.44	5767.19	9794.83	8679.08	13176.39	6144.12	13593.72	5459.88	13309.13	8735.17	13590.72	6807.53	13312.86	7270.57	14527.78	7614.06	12034.72	6073.12
23	7435.59	5201.05	7071.06	4193.22	6906.59	3590	5286.75	3323.33	5383.18	2959.91	6489.33	3011.08	4956.77	2258.85	3771.3	2444.31	2349	1913.24	3802.47	2783.93	5148.87	2894.2	4152.6	3342.33	5368.79	3003.89	4359.31	3069.77	3742.33	1740.13	3127.54	1972.04
24	12185.35	6258.59	11364.31	9031.77	14566.36	9758.8	11471.13	5099.88	12206.75	5045.59	11514.08	8061.85	11662.22	3147.18	8406.4	5279.28	4660.16	5204.28	7313.76	5964.1	12030.4	7619.2	8623.7	6373.35	12605.12	6047.32	9062.25	5052.14	13132.93	6619.29	9892.59	6053.63
25	12845.46	8868.84	10759.59	7501.14	12219.44	7207.69	8492.68	7577.77	7283.25	4192.17	12663.25	6869	11217.67	4986.11	9999.92	7348	7488.24	6024.71	7778.15	6235.54	12069.2	8662.33	7799.06	7134.33	10132.69	6111.54	7711.16	5902.39	10642.89	5587.67	10088.2	6485.47
26	1272.18	944.65	2554.73	2357.09	1186.67	829.4	1952.38	2133.38	1280.92	947.66	2280.6	1512	1108.08	947.42	1178.94	1181.12	877	1315	760	1193.5	770.95	719.05	959.48	947.81	1047.19	1945.5	1144.68	2405.09	710	1086.2	1295.82	1152.76
27	1374.82	1022.64	1931.25	1613.81	871.33	850.46	2378.34	2695.11	857	628.47	2257.77	1625.46	870.94	799.75	1190.33	1601.89	670.58	1194.54	1014.89	1301.83	601.57	547.19	1183.4	1450.6	873	1798.87	1305.39	2065.28	494.43	682.96	1144.69	1317.62
28	3131.07	2227.08	3554	2747.46	3621.71	2707.86	3442.44	3789.75	2704.59	1748.71	3676.88	1962.29	2070.42	1184.42	3880.67	3134.89	1102.43	989.5	2613.64	2788.36	1986.14	1894.5	2179.81	1959.06	3129.2	4011	2713.64	2091.14	1711.87	1545.6	2774.29	1504.71
29	5857.1	3764.8	8225	5801	6784.67	3721.17	8141.2	5529	7328.56	3500.44	11028.89	5015.56	4346.82	1973.73	4723.75	3191.42	1225.88	916.12	5222.93	3469.79	5380.89	3008.89	6215.92	4556.92	4896	3910.17	6108.08	3758.25	2985.33	1887.83	4708.91	2780.33
